abb,exp,chemical,disease,simple_chemical
DM,1  Deciduous molars; 2   Diabetes mellitus; 3   diastolic murmur; 4    dry mass; 5   dry matter; et alia,,vavlular incompetencies,
DMNA,Dimethylnitrosamine,,vbacterial infection,
"DMOAD, DMOADs",Disease-modifying osteoarthritis drugs,,vental abdomen chronic,
DMSO,Dimethyl sulfoxide,,ventral abdomen,
DNA,Deoxyribonucleic acid,,ventricular enlargement,
DOCA,Desoxycorticosterone acetate,,Vesicular stomatitis,
DOCP,Desoxycorticosterone pivalate,,vestibular and heart disease,
DSS,Dioctyl sodium sulfosuccinate,,vestibular disease,
DTM,Dermatophyte Test Medium,,vestibular syndrome,
DV,Dorsal-ventral,,VHS,
DVM,Doctor of Veterinary Medicine,,Viral hemorrhagic disease,
Dx,Diagnosis,,Viral hemorrhagic disease 2 '',
EBA,Epizootic bovine abortion,,viral infection,
EBV,Epstein-Barr virus,,vocal pain,
ECF,Extracellular fluid,,vomit,
"ECG, EKG",Electrocardiogram,,Vomiting,
eCG,Equine chorionic gonadotropin,,vomiting,
Ecoli,Escherichia coli,,Vomiting ataxic,
ECP,Estradiol cypionate,,Vomiting bile,
ED,Elbow dysplasia [e g  in dogs],,Vomiting Diarrhea,
EDDI,Ethylenediamine dihydroiodide,,vomiting dry,
EDP,Edema disease principle,,Vomiting hairy,
EDS,Egg drop syndrome,,Vomiting ill,
EE,Equine encephalomyelitis,,Vomiting infected,
EEE,Eastern equine encephalomyelitis,,Vomiting itchy,
EEG,Electroencephalogram,,Vomiting monor pyoderma,
EF,Ejection fraction,,Vomiting nervous,
EFA,Essential fatty acids,,Vomiting occas lick,
EHD,Epizootic hemorrhagic disease,,Vomiting pruritic,
EHV,Equine herpesvirus,,Vomiting sens trachea,
EIA,1   Enzyme immunoassays; 2   equine infectious anemia,,Vomiting sexual,
EIAV,Equine infectious anemia virus a lentivirus,,Vomiting sore,
EIPH,Exercise-induced pulmonary hemorrhage,,Vomiting sweet boy,
ELF,Enzyme-labeled fluorescence,,Vomiting Vomiting,
ELISA,Enzyme-linked immunosorbent assay,,Vomiting Vomiting nervous,
EM,Electron microscopy,,Vomiting Vomiting waxy,
EMC,Encephalomyocarditis,,Vomiting watery,
EMG,Electromyography,,vomiting/diarrhoea,
EP,Enzootic pneumonia,,vomiting/retching,
EPA,Environmental Protection Agency,,Vomits,
EPG,Eggs per gram of feces,,vomits,
EPI,Exocrine pancreatic insufficiency,,vomitting,
EPM,Equine protozoal myeloencephalitis,,vulva,
EPO,Erythropoietin,,vulva gets sore,
FA,1   Fatty acids; 2   Flourescent antibody,,vulva puffy,
FAD,Flea allergy dermatitis,,vulval swelling,
FARAD,Food Animal Residue Avoidance Databank,,Vx - Viral hemorrhagic disease 2 - Intranasal,
FCP,"Fragmentation of the coronoid process, fragmented coronoid process",,wart,
FCV,Feline calicivirus,,Watery brown Diarrhea,
FDA,Food and Drug Administration,,watery diarrhoea,
FDP,Fibrin degradation products,,weakness,
FeBb,Feline Bordetella bronchiseptica,,Wear gloves,
FECV,Feline enteric coronavirus,,weepy,
FeLLC,Feline lymphosarcoma-leukemia complex,,weight bearing Pododermatitis aseptica diffusa,
FeLV,Feline leukemia virus,,Weight gain,
FFA,Free fatty acids,,weight gain,
FHD,Feline heartworm disease,,Weight gain - MUST,
FHV,1   Feline herpesvirus; 2   Flock House virus,,Weight gain - overwt,
FIA,Feline infectious anemia,,weight gain - unusual,
FIP,Feline infectious peritonitis,,Weight loss,
FIV,Feline immunodeficiency virus,,weight loss,
fLUTD,Feline lower urinary tract disease,,Weight loss '',
FMD,Foot-and-mouth disease,,weight loss '',
FMDV,Foot-and-mouth disease virus Aphthovirus,,Weight loss - advise,
FNA,Fine-needle aspiration,,wheeze,
FOCMA,Feline oncornavirus-associated cell membrane antigen,,wheezing,
FORL,Feline odontoclastic resorptive lesions,,wieght gain,
FRV,1   Feline rhinotracheitis virus; 2   feline rotaviruses,,witha cough,
FSH,Follicle-stimulating hormone,,Wound infected,
FSV,Feline sarcoma virus,,wound Pododermatitis aseptica diffusa,
FUD,Fever of undetremined origin,,yeast infection,
FUS,Feline urological syndrome,,molars,
fx,Fracture,,incisors,
FVRCP,"Feline viral rhinotracheitis, calicivirus, panleukopenia [vaccine]",,,
GABA,Gamma-aminobutyric acid,,,
GALT,Gut-associated lymphoid tissue,,,
GDU,Gastroduodenal ulceration,,,
GDV,Gastric dilitation-volvulus,,,
GES,Group E streptococcus,,,
GFR,Glomerular filtration rate,,,
GH,Growth hormone,,,
GHRH,Growth hormone-releasing hormone,,,
GI,Gastrointestinal,,,
GME,Granulomatous meningoencephalomyelitis,,,
Gn-RH,Gonadotropin-releasing hormone,,,
GOT,"Glutamic-oxaloacetic glutamate-oxaloacetate transaminase / aspartate aminotransferase see also AST, SGOT",,,
GPT,"Glutamate-pyruvate glutamic-pyruvic transaminase / alanine aminotransferase see also ALT, SGPT",,,
GRAS,Generally regarded as safe,,,
GVH,Goose viral hepatitis,,,
G6PD,Glucose 6-phosphate dehydrogenase,,,
H&E,Hematoxylin and eosin stain,,,
HA,1   Hemagglutinin; 2   hemagglutination; 3   Hypertensive angiopathy,,,
HACCP,Hazard Analysis Critical Control Points,,,
"Hb, Hgb",Hemoglobin,,,
HBC,Hit by car,,,
HCG,Human chorionic gonadotropin,,,
HCH,Halogenated cyclic hydrocarbons,,,
Hct,Hematocrit,,,
HD,Hepatosis dietetica,,,
HD,Hip dysplasia,,,
HEV,Hemagglutinating encephalomyelitis virus,,,
HGE,Hemorrhagic gastroenteritis,,,
HHM,Humoral Hypercalcemia of malignancy,,,
HI,Hemagglutination-inhibition,,,
HMP,Hexose monophosphate shunt,,,
HOD,Hypertrophic osteodystrophy,,,
HPA,Hypophyseal-pituitary axis,,,
HPF,High-power field,,,
Hpg,Haemophilus paragallinarum,,,
HS,Hemorrhagic septicemia,,,
HSL,Hypertonic saline,,,
HUS,Hemolytic uremic syndrome,,,
hypp,Hyperkalemic periodic paralysis,,,
IAADP,International Association of Assistance Dog Partners,,,
IACUC,Institutional Animal Care and Use Committee,,,
IBH,Inclusion body hepatitis,,,
ICF,Intracellular fluid,,,
ICH,Infectious canine hepatitis,,,
ID,Intradermal,,,
IDDM,Insulin-dependent diabetes mellitus,,,
IDST,Intradermal skin testing,,,
IFA,Indirect fluorescent antibody,,,
IFN,Interferon,,,
Ig,Immunoglobulin,,,
IGR,Insect growth regulators,,,
IHA,Indirect hemagglutination,,,
iLUTD,Idiopathic lower urinary tract disease,,,
IM,Intramuscular,,,
IN,Intranasal,,,
inf,Infection,,,
INH,Infectious necrotic hepatitis,,,
IP,Intraperitoneal,,,
IPN,Infectious pancreatic necrosis,,,
IPV,Infectious pustular vulvovaginitis,,,
isom,Immunostimulating complexes,,,
IV,Intravenous,,,
IVD,Intervertebral disc,,,
IVP,"Intravenous pyelogram, intravenous pyelography",,,
IVSA,International Veterinary Students’ Association,,,
JAAHA,Journal of the American Animal Hospital Association,,,
JAVMA,Journal of the American Veterinary Medical Association,,,
KBH,Kicked by horse,,,
KCS,Keratoconjunctivitis sicca,,,
KTZ,Keratonazole,,,
kVp,Kilovolt peak,,,
LA,Large animal,,,
LCM,Lymphocytic choriomeningitis,,,
LD,Lethal dose,,,
LDA,Left displacement of abomasum,,,
LE,Lupus erythematosus,,,
LH,Luteinizing hormone,,,
LMN,Lower motor neurons,,,
LPE,Lymphocytic-plasmacytic enteritis,,,
LPF,Low-power fields,,,
LPS,Lipopolysaccharide,,,
LRS,Lactated Ringer’s solution,,,
LVT,Licensed veterinary technician,,,
mA,Milliamperes,,,
MAC,Minimal antibiotic concentration,,,
MALT,Mucosa-associated lymphoid tissue,,,
MAOI,Monoamine oxidase inhibitors,,,
MAP,Mouse antibody production,,,
MBC,Minimal bactericidal concentration,,,
MCF,Malignant catarrhal fever,,,
MCH,Mean corpuscular hemoglobin,,,
MCHC,Mean corpuscular hemoglobin concentration,,,
MCP,Metacarpophalangeal joint [in horses],,,
MCT,1   Market cattle testing; 2   Mast cell tumors,,,
MCV,1   Mean cell volume; 2   Mean corpuscular volume,,,
ME,Metabolizable energy,,,
MEC,Minimal effective plasma concentration,,,
MED,Median effective dose ED 50,,,
MG,Monoglycerides,,,
MH,Malignant hyperthermia,,,
MHA,Microangiopathic hemolytic anemia,,,
MHD,Mulberry heart disease,,,
MHV,Mouse hepatitis virus,,,
Mhz,Megahertz,,,
MIC,Minimal inhibitory concentration,,,
MI,3-methylindole,,,
MLV,Modified live virus,,,
MMA,Mastitis-metritis-agalactia complex,,,
MNTD,Maximum nontoxic dose,,,
MOET,Multiple ovulation and embryo transfer,,,
mOsm,Milliosmols,,,
MRCVS,Member of the Royal College of Veterinary Surgeons,,,
MRI,Magnetic resonance imaging,,,
mRNA,Messenger ribonucleic acid,,,
MSD,Marble spleen disease,,,
MSH,Melanocyte-stimulating hormone,,,
MTC,Maximum tolerated plasma concentration,,,
MTD,Median toxic dose TD 50,,,
MTD,Maximum tolerated dose,,,
NADH,Nicotinamide adenine dinucleotide,,,
NADPH,Nicotinamide adenine dinucleotide phosphate,,,
NAF,No abnormal findings,,,
NAHMS,National Animal Health Monitoring Systems of USDA,,,
NASPHV,National Association of State Public Health Veterinarians,,,
NAVLE,North American Veterinary Licensing Examination,,,
NAVTA,North American Veterinary Technician Association,,,
NBEC,National Board Examination Committee for Veterinary Medicine,,,
NCPPSP,National Council on Pet Population Study and Policy,,,
NCV,Nerve conduction velocities,,,
ND,Newcastle disease,,,
NDF,Neutral detergent fiber,,,
NECL,Nonepitheliotropic cutaneous lymphosarcomas,,,
NFM,Northern fowl mite,,,
NMB,New Methylene Blue,,,
NMD,Nutritional muscular dystrophy,,,
NMS,Neonatal maladjustment syndrome,,,
NPN,Nonprotein nitrogen,,,
NPO,"[Latin] Nil per os, nothing by mouth",,,
nRBC,Nucleated red blood cells,,,
NRC,National Research Council,,,
NSAID,Nonsteroidal anti-inflammatory drugs,,,
OA,"Osteoarthritis, degenerative joint disease",,,
OCD,Osteochondritis dissecans,,,
OD,"[Latin] Oculus dexter, right eye",,,
ODE,Old-dog encephalitis,,,
OFA,Orthopedic Foundation for Animals,,,
OID,Ovine interdigital dermatitis,,,
OP,Organophosphates,,,
OR,Operating room,,,
ossa,Bone,,,
OS,"[Latin] Oculus sinister, left eye",,,
P-A,Posterior-anterior,,,
PABA,Para-aminobenzoic acid,,,
PAD,Pododermatitis aseptica diffusa,,,
PAF,Platelet activating factor,,,
PBB,Polybrominated biphenyls,,,
PBFD,Psittacine beak and feather disease,,,
pc,"[Latin] Post cibum / cibos, after meals",,,
PCB,Polychlorinated biphenyls,,,
PCV,Packed cell volume,,,
PDA,Patent ductus arteriosus,,,
PDE,Phosphodiesterases,,,
PE,Physical examination,,,
PED,Porcine epidemic diarrhea,,,
PEDV,Porcine epidemic diarrhea virus,,,
PEM,Polioencephalomalacia,,,
PF,Platelet Factor,,,
"PG,PGs",1   Prostaglandin; 2   proteoglycans,,,
PHS,Pulmonary hypertension syndrome,,,
PI-3,Parainfluenza-3 virus,,,
PIEsyndrome,Pulmonary infiltration with eosinophilia,,,
PKD,Proliferative kidney disease,,,
PLH,Pharyngeal lymphoid hyperplasia,,,
Plt,Platelets,,,
PMN,Polymorphonuclear leukocytes,,,
PMSG,Pregnant mare serum gonadotropin,,,
PNS,Peripheral nervous system,,,
PNU,Protein nitrogen units,,,
PO,"[Latin] Per os, orally",,,
post,Posterior,,,
POVMR,Problem-oriented veterinary medical record,,,
PPLO,Pleuropneumonia-like organism,,,
PPN,Partial parenteral nutrition,,,
PPR,Peste des petits ruminants,,,
pr,Per rectum,,,
PRA,Progressive retinal atrophy,,,
PRDC,Porcine respiratory disease complex,,,
"PRN,prn","[Latin] Pro re nata, as occasion arises as needed",,,
PRRS,Porcine reproductive and respiratory syndrome,,,
PRV,Pseudorabies virus,,,
PSE,Pale soft exudative pork,,,
PSGAG,Polysulfated glycosaminoglycan,,,
PSS,1  Physiologic saline solution; 2   porcine stress syndrome,,,
PT,Prothrombin time,,,
PTH,"Parathormone, parathyroid hormone",,,
PTHrP,PTH-related proteins,,,
PTS,Put to sleep,,,
pulv,"Pulverized, powder",,,
Px,Physical examination,,,
"q,qq","[Latin] Quaque, every, each e g  q d  quaque die, every day; qh quaque hora, every hour; q4h every four hours; etc ",,,
qid,"[Latin] Quater in die, four times daily",,,
ql,"[Latin] Quantum libet, as much as desired",,,
QNS,Quantity not sufficient,,,
qod,every other day see q ,,,
QOL,Quality of life,,,
qs,"[Latin] Quantum sufficiat, as much as is sufficient",,,
qv,"[Latin] Quantum vis, as much as you please",,,
"R,r",Roentgen [international unit of measurement of x- or g-rays],,,
RA,Rheumatoid arthritis,,,
RANA,Registered Animal Nursing Auxiliary,,,
RAST,Radioallergosorbent test,,,
RBC,Red blood cells,,,
RDA,Right displacement of the abomasum see also AV 3 ,,,
REM,Rapid eye movement,,,
RER,Resting energing requirement,,,
RES,Reticuloendothelial system,,,
REV,Reticuloendotheliosis virus,,,
RMSF,Rocky Mountain spotted fever,,,
RNA,Ribonucleic acid,,,
RSAT,Rapid slide agglutination test,,,
RTA,Right torsion of the abomasum see also AV 3 ,,,
RTF,Resistance transfer factor,,,
RV,Rabies vaccine,,,
RVF,1   Rift Valley fever; 2   Right ventricular failure,,,
RVVT,Russell’s viper venom time,,,
R x,"[Latin] recipe, take, receive used to indicate a prescription or treatment",,,
SA,1   Sinoatrial; 2   Small animal,,,
SAIDS,Simian acquired immunodeficiency syndrome,,,
SAMS,Sow abortion and mortality syndrome,,,
SAP,Serum alkaline phosphatase,,,
SARA,Subacute ruminal acidosis,,,
SBE,Sporadic bovine encephalomyelitis,,,
SC,Subcutaneously,,,
SCUD,Septicemic cutaneous ulcerative disease,,,
SDA,Sialodacryoadenitis,,,
SDH,Sorbitol dehydrogenase,,,
SDF,"Synchronous diaphragmatic flutter, “thumps”",,,
SF,Spayed female,,,
SFT,Society for Theriogenology,,,
SG,Specific gravity,,,
SGOT,"Serum glutamic-oxaloacetic glutamate-oxaloacetate transaminase / aspartate aminotransferase see also AST, GOT",,,
sGPT,"Serum glutamate-pyruvate glutamic-pyruvic transaminase / alanine aminotransferase see also ALT, GPT",,,
SHS,Swollen head syndrome,,,
SI,1   Safety index; 2   superior-inferior,,,
SIBO,Small intestinal bacterial overgrowth,,,
SIRS,Systemic inflammatory response syndrome,,,
SIV,1   Simian immunodeficiency virus; 2   swine influenza virus,,,
SLE,Systemic lupus erythematosus,,,
SLS,Streptococcal lymphadenitis,,,
SMSV,San Miguel sea lion virus,,,
SMZ,Sulfamethazine,,,
SPD,Salmon poisoning disease,,,
SPF,Specific pathogen free,,,
sp/spp,Species singular / species plural,,,
SSRI,Selective serotonin reuptake inhibitors,,,
subcut,Subcutaneously see also Sub-Q,,,
Sub-Q,Subcutaneously see also subcut ,,,
sup,Superior,,,
SVD,Swine vesicular disease,,,
sx,Surgery,,,
TAT,Tetanus antitoxin,,,
TB,Tuberculosis,,,
TBF,Tick-borne fever,,,
TCP,Tropical canine pancytopenia,,,
TDN,Total digestable nutrients,,,
TEME,Thromboembolic meningoencephalitis,,,
TGC,Tender gentle care,,,
TGE,Transmissible gastroenteritis,,,
tid,"[Latin] Ter in die, three times a day",,,
TLC,Tender loving care,,,
TLI,Trypsin-like immunoreactivity,,,
TME,Transmissible mink encephalopathy,,,
TMJ,Temporomandibular joint,,,
TMS,Trace mineral salt,,,
TNF,Tumor necrosis factor,,,
TNTC,Too numerous to count,,,
TPN,Total parenteral nutrition,,,
TOX,1   Toxoplasma; 2   Toxoplasmosis,,,
TRH,Thyrotropin-releasing hormone,,,
TRTVs,Turkey rhinotracheitis viruses,,,
TSH,"Thyroid-stimulating hormone, thyrotropin",,,
TT,1   Tetanus toxoid; 2   thrombin time,,,
TTW,Transtracheal washes or washing,,,
T 3,Triiodothyronine,,,
T 4,Thyroxine,,,
UAP,Ununited anconeal process,,,
UD,Ulcerative dermatosis,,,
UIP,Undegraded intake protein,,,
UMCP,Ununited medial coronoid process,,,
UMHE,Ununited medial humeral epicondyle,,,
UMN,Upper motor neurons,,,
USP,United States Pharmacopeia,,,
UTI,Urinary tract infection,,,
VD,Ventral-dorsal,,,
VEE,Venezuelan equine encephalomyelitis,,,
VEN,Viral erythrocytic necrosis,,,
VESV,Vesicular exanthema of swine virus,,,
VFA,Volatile fatty acids,,,
VFD,Veterinary feed directive,,,
VFR,Virulent foot rot,,,
VHD,Viral hemorrhagic disease,,,
VMD,Veterinary medical doctor,,,
VN,Virus neutralization,,,
VS,Vesicular stomatitis,,,
VT,Veterinary technician,,,
VVND,Viscerotropic velogenic Newcastle disease,,,
VWD,Vomiting and wasting disease,,,
VWF,Von Willebrand’s factor,,,
WB,Western blot [test],,,
WBC,White blood cells,,,
WEE,Western equine encephalomyelitis,,,
WHO,World Health Organization,,,
WMD,White muscle disease,,,
WMT,Wisconsin mastitis test,,,
WVA,World Veterinary Association,,,
WVPA,World Veterinary Poultry Association,,,
NAD,Nicotinamide adenine dinucleotide,,,
HPC,Healthy pet club,,,
AB,Antibiotic,,,
ALP,Liver Enzyme,,,
ALT,Liver Enzyme,,,
AOK,A Ok,,,
BAR,Bright Alert Responsive,,,
BC,Buster Collar,,,
BCS,Body Condition Score,,,
BG,Blood Glucose,,,
Biop,Been In Owners Possession,,,
EB,Estrodial Benzoate,,,
EBM,Evidence Based Medicine,,,
EDDU,Eating Drinking Defecating and Urinating,,,
ches,chess,,,
insp,inspan,,,
secod,secos,,,
retcing,retting,,,
ivermec,immersive,,,
oevrweight,overweight,,,
comfier,comfit,,,
irritated,irritate,,,
refr,ref,,,
itor,ito,,,
flamazine,formalazine,,,
fluidgas,fluid,,,
improvemnt,improvement,,,
absces,abscess,,,
viscotears,viscometer,,,
anticipated,anticipate,,,
edduok,edda,,,
mutiple,multiple,,,
medrone,mooned,,,
nl,nonly,,,
expl,exploit,,,
tenderdoes,tender,,,
coughingpanting,coploughing,,,
